_c0,Date,Number_of_Retweets,Tweet
55,"23 April",3852,"RT @stengel: Journalists need to figure out different language to describe what's happening in Ukraine. When Putin razes Mariupol to the gr…"
58,"23 April",91,"RT @Mariana_Betsa: 6 airstrikes in Odesa reported… Russia is evil and barbaric. Russia does not want Ukraine to exist. Arm Ukraine now #Sto…"
60,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
62,"23 April",143,"RT @Mariana_Betsa: Appeasement does not work. Fear - does not work. What does work - bravery and resistance, heavy weaponry, devastating sa…"
63,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
64,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
66,"23 April",335,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
67,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
71,"23 April",288,"RT @ua_parliament: 🛑 PLEASE SHARE THIS INFO! 
We need humanitarian corridors from #Mariupol! Help save Mariupol!

#SaveMariupol #StopRussia…"
74,"23 April",2602,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
75,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
78,"23 April",218,"RT @Mariana_Betsa: Two beautiful talented girls Yelizaveta and Sonya were killed in Mariupol. They were actors in Mariupol theatre. - advis…"
79,"23 April",2602,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
80,"23 April",877,"RT @olex_scherba: A group of German intellectuals urged @OlafScholz not to supply weapons to Ukraine. I didn’t know “German intellectuals”…"
81,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
84,"23 April",335,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
87,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
88,"23 April",335,"RT @joncoopertweets: 🇺🇦🇺🇸 BREAKING: President Zelenskyy is expecting Secretary of State Tony Blinken and Defense Secretary Lloyd Austin to…"
90,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
91,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
93,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
95,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
96,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
97,"23 April",782,"RT @olex_scherba: This morning this man woke up in his apartment in #Kharkiv. At some point he went for groceries. Then #Russian shelling b…"
0,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
2,"22 April",160,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
3,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
4,"22 April",7253,"RT @olex_scherba: My former colleague in Mariupol, a border guard officer, called &amp; asked to help his family, should he not make it…
The ye…"
5,"22 April",160,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
7,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
9,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
13,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
17,"22 April",426,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
19,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
23,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
24,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
26,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
27,"22 April",252,"RT @DefenceHQ: The illegal and unprovoked invasion of Ukraine is continuing. 

The map below is the latest Defence Intelligence update on t…"
30,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
31,"22 April",14831,"RT @olex_scherba: Remember the dog in #Bucha who lost his owner? Good news: he found him! This dog sounds human! 

#dogsofukraine #StandWit…"
32,"22 April",252,"RT @DefenceHQ: The illegal and unprovoked invasion of Ukraine is continuing. 

The map below is the latest Defence Intelligence update on t…"
34,"22 April",645,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
35,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
36,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
37,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
39,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
40,"22 April",297,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
41,"22 April",87,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
43,"22 April",68,"RT @AliAbunimah: So telling that while the @EUinIsrael @EUpalestinians raised the flag of Ukraine and held events to say they #StandWithUkr…"
45,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
46,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
48,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
52,"22 April",87,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""HITLER IS FASCIST NUMBER ONE 
AND
PUTIN IS FASCIST NUMBER TWO!"",

says 85-year-old Ukrainan Roman Shvartsman…"
54,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
55,"22 April",691,"RT @SyriaCivilDef: #WhiteHelmets UXO teams acknowledge the brutal massacre in #Bucha &amp; stand in solidarity with people of #Ukraine. We the…"
56,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
60,"22 April",267,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
62,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
66,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
67,"22 April",157,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
75,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
76,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
79,"22 April",3551,"RT @olex_scherba: Not only soldiers, but also hundreds of civilians hiding right now on Azovstal premises in Mariupol. Putin doesn’t give t…"
80,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
82,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
85,"22 April",497,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
87,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
88,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
91,"22 April",1285,"RT @olex_scherba: Azovstal being bombarded right now - deputy mayor of #Mariupol. So much for Putin’s word. 

#StandWithUkraine #StopPutinN…"
92,"22 April",1301,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
93,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
95,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
96,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
97,"22 April",1359,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
99,"22 April",297,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
0,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
2,"22 April",95,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
3,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
4,"22 April",3109,"RT @joncoopertweets: Ukraine has sustained at least $120 billion in infrastructure damage as a result of Russia's war there. I think Ukrain…"
5,"22 April",78,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
6,"22 April",78,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
7,"22 April",337,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
8,"22 April",172,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
10,"22 April",76,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
11,"22 April",12815,"RT @olex_scherba: His name was Vitaly Skakun. He was 25. To stop RU fascists, he blew up a bridge at the cost of his life. Today he was car…"
13,"22 April",514,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 21 April 2022
 
Find out more about the UK government's res…"
14,"22 April",95,"RT @Mariana_Betsa: That’s what Russian invaders do… A beautiful girl Maryna (15) from Kharkiv oblast. Russia bombarded her home. #StopRussi…"
15,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
16,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
17,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
18,"22 April",9840,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
19,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
20,"22 April",505,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
21,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
23,"22 April",9840,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
24,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
25,"22 April",165,"RT @FCDOGovUK: We’re planning for Her Majesty’s Ambassador to Ukraine @MelSimmonsFCDO to return to Kyiv, and will re-open the British Embas…"
27,"22 April",431,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
29,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
30,"22 April",505,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
32,"22 April",78,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
34,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
35,"22 April",257,"RT @DefenceHQ: The illegal and unprovoked invasion of Ukraine is continuing. 

The map below is the latest Defence Intelligence update on t…"
39,"22 April",337,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
40,"22 April",200,"RT @Denys_Shmyhal: Met with 🇺🇸 Secretary of Transportation @SecretaryPete. Told about significant losses of #Ukraine due to russia's milita…"
41,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
44,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
47,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
48,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
49,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
50,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
51,"22 April",431,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
54,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
56,"22 April",1355,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
59,"22 April",76,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
64,"22 April",200,"RT @Denys_Shmyhal: Met with 🇺🇸 Secretary of Transportation @SecretaryPete. Told about significant losses of #Ukraine due to russia's milita…"
65,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
67,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
69,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
70,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
72,"22 April",648,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
74,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
79,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
81,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
84,"22 April",431,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
85,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
87,"22 April",431,"RT @avalaina: Russians have to be accountable for all evil that they bring to our land and for all pain that they have done to our people.…"
89,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
91,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
92,"22 April",9840,"RT @electroboyusa: 🇺🇦 If you are praying for President Zelenskyy, his wife and children, I want to follow you!

🇺🇦 And please RETWEET for p…"
93,"22 April",505,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
96,"22 April",1440,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
0,"22 April",88,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""HITLER IS FASCIST NUMBER ONE 
AND
PUTIN IS FASCIST NUMBER TWO!"",

says 85-year-old Ukrainan Roman Shvartsman…"
1,"22 April",1370,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
6,"22 April",125,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 5

Listen what Makar, a 7-year-old boy from Mariupol, has to say.
 
📣🔔PLEASE RET…"
11,"22 April",64,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

A missile hits #Kharkiv residential area.
What a terror.
And surely that was one of the smaller ones.

Video:…"
12,"22 April",87,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
16,"22 April",59,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 4

Bodies, land mines and destruction: A Ukrainian region digs out after the Rus…"
19,"22 April",175,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

It's so hilarious.

The #Ukraine flag was projected onto the Russian Embassy in #DC.
Of course, the Russians…"
24,"22 April",102,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 4

“We stopped the enemy from all sides. We brought him losses he could never have imag…"
25,"22 April",99,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

SUPPORT UKRAINE   NO. 3

The only strategy Russia knows is killing civilians and destroying infrastructure.…"
26,"22 April",228,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DESTRUCTION OF UKRAINE   NO. 1

This drone footage shows the incredible devastation of Mariupol from the Russ…"
27,"22 April",510,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

""I SURVIVED HITLER, SURVIVED STALIN AND I WILL SURVIVE THAT ASSHOLE PUTIN TOO!"",

says 96-year-old Ukrainian…"
28,"22 April",59,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

TESTIMONY FROM MARIUPOL

Escape from Mariupol: the man who swam to safety from Russian terror 

https://t.co/…"
29,"22 April",650,"RT @avalaina: Photo of the military doctor from “Azov” who remains in the blocked Mariupol. “Tell my mother the words - I've seen so much p…"
30,"22 April",59,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DEBUNK RUSSIA    NO. 9

German Intelligence Intercepts Radio Traffic Discussing the Murder of Civilians 

htt…"
31,"22 April",258,"RT @DefenceHQ: The illegal and unprovoked invasion of Ukraine is continuing. 

The map below is the latest Defence Intelligence update on t…"
33,"22 April",281,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
34,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
35,"22 April",101,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DEBUNK RUSSIA    NO. 8
 
Bodies of 132 civilians shot by Russian troops found in Makariv, Kyiv region

https:…"
38,"22 April",71,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

Obama: I Underestimated the Threat of Disinformation

 https://t.co/U3YVuTC542 
 
#Ukraine
#StandWithUkraine…"
40,"22 April",111,"RT @Dr_Woga: 🇷🇺💥🤛💪🇺🇦❤🇺🇦💪🤜💥🇷🇺

DEBUNK RUSSIA    NO. 5

A Ukrainian journalist recounts her final days in the town of Bucha.

By Oksana Semen…"
42,"22 April",87,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
44,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
47,"22 April",1370,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
51,"22 April",314,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
52,"22 April",185,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
54,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
57,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
59,"22 April",1370,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
60,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
62,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
63,"22 April",1370,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
64,"22 April",87,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
65,"22 April",296,"RT @olex_scherba: Yo Yo Ma thanking those who help - and playing #Ukraine’s national anthem. Thank you!

#StandWithUkraine #ArmUkraineNow h…"
69,"22 April",314,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
73,"22 April",87,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
74,"22 April",87,"RT @halyapuff: #Russia 'sentences' #CrimeanTatar leader Mustafa #Dzhemilev for seeking to enter his native #Crimea 
#Ukraine #LetMyPeopleGo…"
75,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
77,"22 April",5236,"RT @vonderleyen: Ukraine belongs in the European family.

And today, Ukraine takes another important step towards EU membership.

We will a…"
78,"22 April",1473,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
80,"22 April",185,"RT @Ironhorse76: Happy Friday, Family!

FOLLOW ALL WHO: 

Lk
RT 
Cmt

RT if you agree - 🇺🇸🇺🇸🇺🇸 These midterms will determine the trajectory…"
