_c0,Date,Number_of_Retweets,Tweet
92,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
93,"22 April",309,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
95,"22 April",1348,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
97,"22 April",1432,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
98,"22 April",276,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
0,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
3,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
8,"22 April",1340,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
9,"22 April",307,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
11,"22 April",1340,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
13,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
14,"22 April",274,"RT @DiariesMariupol: The world should know what horrors the people of #Mariupol went through. 

Read the true story of a mother who survive…"
16,"22 April",74,"RT @CanadaFP: The Russian regime has made it illegal to independently report on the war in Ukraine. 

Through Kremlin control, Russia’s med…"
18,"22 April",502,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
19,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
22,"22 April",307,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
23,"22 April",1340,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
24,"22 April",1340,"RT @Klitschko: This is the recipe for resistance: women and men of good will. Thank you World Central Kitchen for your precious help! #Chef…"
25,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
26,"22 April",502,"RT @olex_scherba: A cemetery near #Chernihiv.
#RussianArmy paid a visit. 

#StandWithUkraine #StopRussia #ArmUkraineNow https://t.co/4ec4zp…"
27,"22 April",307,"RT @DefenceHQ: Latest Defence Intelligence update on the situation in Ukraine - 22 April 2022
 
Find out more about the UK government's res…"
28,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
29,"22 April",333,"RT @PmurtTrump: FRIDAY DEMOCRATIC MEET UP!

November 8th will be here before we know it. Build the 🌊 blue wave🌊 to save our democracy from…"
32,"22 April",1421,"RT @olex_scherba: Her name is Maryna (15). 
#Russia bombarded her home in #Kharkiv oblast. 

#StandWithUkraine #RussianWarCrimes #ArmUkrain…"
